[02-Jul-2025 23:23:26 UTC] PHP Warning:  Undefined array key "HTTP_HOST" in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6334
[02-Jul-2025 23:23:46 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_imagick.dll' (tried: C:/Users/micka/AppData/Roaming/Local/lightning-services/php-8.4.4+2/bin/win64/ext\php_imagick.dll (Le module spécifié est introuvable), C:/Users/micka/AppData/Roaming/Local/lightning-services/php-8.4.4+2/bin/win64/ext\php_php_imagick.dll.dll (Le module spécifié est introuvable)) in Unknown on line 0
[02-Jul-2025 23:26:41 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_imagick.dll' (tried: C:/Users/micka/AppData/Roaming/Local/lightning-services/php-8.4.4+2/bin/win64/ext\php_imagick.dll (Le module spécifié est introuvable), C:/Users/micka/AppData/Roaming/Local/lightning-services/php-8.4.4+2/bin/win64/ext\php_php_imagick.dll.dll (Le module spécifié est introuvable)) in Unknown on line 0
[03-Jul-2025 00:23:51 UTC] PHP Parse error:  syntax error, unexpected end of file in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-config.php on line 103
[03-Jul-2025 00:49:39 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[03-Jul-2025 00:49:53 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[03-Jul-2025 00:49:56 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[03-Jul-2025 00:49:57 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 17:07:51 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_imagick.dll' (tried: C:/Users/micka/AppData/Roaming/Local/lightning-services/php-8.4.4+2/bin/win64/ext\php_imagick.dll (Le module spécifié est introuvable), C:/Users/micka/AppData/Roaming/Local/lightning-services/php-8.4.4+2/bin/win64/ext\php_php_imagick.dll.dll (Le module spécifié est introuvable)) in Unknown on line 0
[04-Jul-2025 17:07:51 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
[04-Jul-2025 17:07:52 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>debug-bar</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\Users\micka\Local Sites\capitainewp-course\app\public\wp-includes\functions.php on line 6121
